Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00007284,,C03H12.1,C03H12.1d,562.5544826,447.2565219,776.9299523,654.0334287,0.478921835,0.319398312,0.35359625,1,0.319735363
WBGene00016655,acbp-1,C44E4.6,C44E4.6.1,2804.525632,3122.065046,3873.659483,4472.316581,0.369618949,0.319384668,0.24943736,1,0.432245772
WBGene00018187,,F38E9.5,F38E9.5.2,1209.125435,1129.772915,1640.435069,1661.568169,0.401277009,0.319296145,0.278344734,1,0.396555723
WBGene00021544,,Y43B11AR.3,Y43B11AR.3,125.0694768,165.5964261,188.1947292,224.0811497,0.577890101,0.319236134,0.455765858,1,0.238154744
WBGene00013187,npr-34,Y54E2A.1,Y54E2A.1,23.62857069,39.97839466,26.1803912,68.16062777,0.742566859,0.318975547,0.645368148,1,0.129264437
WBGene00008632,fbxa-88,F10A3.2,F10A3.2,2.084959828,7.627120656,11.05998161,6.118352833,1,0.318944987,0.706803617,1,NA
WBGene00012136,,T28F4.1,T28F4.1.2,730.6192739,734.7618756,1020.488314,1046.235109,0.419661412,0.318794857,0.296090828,1,0.377100962
WBGene00011622,,T08G5.1,T08G5.1,8.204004231,4.694664633,8.053351806,14.22633021,0.791694544,0.318471779,0.707544799,1,0.101442348
WBGene00019623,,K10C9.1,K10C9.1,10.27388465,11.38260259,13.08554986,21.35271759,0.783008707,0.318383912,0.697007203,1,0.106233408
WBGene00014492,,R166.6,R166.6,9899.20297,9324.405878,13093.36034,14010.99092,0.360446989,0.318322916,0.241595666,1,0.443158598
WBGene00010925,,M153.2,M153.2,60.4781053,51.30842402,74.47031464,87.57303517,0.680244986,0.318254616,0.570629109,1,0.167334651
WBGene00003964,pdi-3,H06O01.1,H06O01.1.1,14244.75632,13850.54494,20862.82325,18652.48998,0.366925504,0.318124391,0.246965189,1,0.435422101
WBGene00021807,,Y53G8AM.7,Y53G8AM.7,3.092787274,3.781352845,7.039982829,6.105799578,1,0.317855465,0.704306271,1,NA
WBGene00013928,clec-94,ZK39.3,ZK39.3,2.062541301,1.87446516,2.016368655,7.098763169,1,0.317822926,0.687492184,1,NA
WBGene00219601,linc-129,K11D9.9,WBGene00219601,2.063805125,1.871975749,2.016697942,7.72620137,1,0.317822926,0.687492184,1,NA
WBGene00009423,,F35E8.10,F35E8.10,0.016294258,3.341914901,2.357438688,6.663144533,1,0.317349611,0.662376822,1,NA
WBGene00015845,,C16C8.7,C16C8.7,0.014654312,2.853702624,2.015236815,6.083931551,1,0.317349611,0.662376822,1,NA
WBGene00023319,,K07E8.2,Pseudogene:K07E8.2,0.014654312,2.853702624,2.015236815,6.083931551,1,0.317349611,0.662376822,1,NA
WBGene00017040,,D1079.1,D1079.1,6.186503991,11.41726562,13.08058047,15.25980028,0.789107771,0.317324984,0.704157031,1,0.102863679
WBGene00018485,,F46C8.3,F46C8.3,130.1711106,132.2360501,164.0432538,209.8110872,0.589817625,0.317223784,0.46852758,1,0.229282254
WBGene00008785,,F14B6.4,F14B6.4,8.227549747,10.44021126,8.059449688,22.35051692,0.788925428,0.317210563,0.703896527,1,0.102964046
WBGene00010110,,F55D12.1,F55D12.1,76.89437618,85.61184252,95.61104194,137.4704842,0.646061396,0.31720783,0.531584202,1,0.189726209
WBGene00007691,,C23H4.2,C23H4.2,42.07295899,63.76738021,76.47819143,75.36515786,0.689470344,0.316993297,0.581616414,1,0.16148441
WBGene00003387,mod-5,Y54E10BR.7,Y54E10BR.7,35.91442919,47.56472402,45.29412627,76.33877088,0.714186264,0.316942152,0.610696979,1,0.146188507
WBGene00004218,ptr-3,C41D7.2,C41D7.2,36.93292344,44.69796098,54.34258662,64.1444098,0.710024644,0.316514659,0.605996242,1,0.148726577
WBGene00014772,,F56D5.4,Pseudogene:F56D5.4,1091.294146,1191.740837,1622.47948,1582.659682,0.400726747,0.316451603,0.277863703,1,0.397151669
WBGene00219455,,Y43F8B.29,Y43F8B.29,3.088948478,2.821594365,2.018799084,10.14121699,1,0.31627876,0.700760764,1,NA
WBGene00010897,lact-3,M28.6,M28.6,732.6657163,712.8625129,880.6069411,1162.344957,0.444290113,0.316260922,0.319938445,1,0.352333352
WBGene00015799,,C15H9.3,C15H9.3,2.075104465,4.750611062,4.02851282,9.136943602,1,0.31616512,0.704575273,1,NA
WBGene00020501,,T14B4.5,T14B4.5,42.02530593,31.31057712,39.25629116,69.20479636,0.726790968,0.316095243,0.625531216,1,0.138590479
WBGene00008802,acp-2,F14E5.4,F14E5.4.1,49.20146889,38.92944622,57.36301517,71.26990115,0.705703927,0.315940605,0.600908971,1,0.151377466
WBGene00022255,,Y73B6BL.36,Y73B6BL.36,19.50021563,20.89205245,25.16090276,35.61333955,0.759433188,0.315748176,0.667792877,1,0.119510428
WBGene00005713,srv-2,C14A4.15,C14A4.15,2.093031437,10.50172098,11.06504098,10.17787698,0.794058519,0.315362381,0.710838627,1,0.100147491
WBGene00000105,alg-1,F48F7.1,F48F7.1b,3751.268814,2864.849039,4626.498153,4722.945791,0.416671867,0.315200464,0.292767831,1,0.380205821
WBGene00017431,,F13H6.3,F13H6.3,351.4759116,502.4691281,650.7769507,542.8886999,0.495979075,0.315067428,0.371091183,1,0.304536646
WBGene00011292,,R102.5,R102.5a,3865.033273,3990.155674,6115.922345,4889.032082,0.39864942,0.314841764,0.276077386,1,0.399408863
WBGene00018318,,F41H10.5,F41H10.5,15.43549682,33.34203324,31.19790252,40.71107715,0.75565548,0.314169746,0.662269857,1,0.121676164
